Time,Acetate,CO2,CH4,H2,H,M_CH4_ace,M_CH4_H2
0.000000,9.992125,0.000066,0.000066,1.800000,-0.000132,350.007473,350.000000
0.000116,9.984251,-0.000537,-0.000537,1.800000,0.001074,350.016283,350.000000
0.000231,9.976380,-0.001221,-0.001221,1.800000,0.002442,350.025252,350.000000
0.000347,9.968510,-0.001953,-0.001953,1.800000,0.003907,350.034317,350.000000
0.000463,9.960642,-0.002722,-0.002722,1.800000,0.005444,350.043452,350.000000
0.000579,9.952776,-0.003520,-0.003520,1.800000,0.007040,350.052644,350.000000
0.000694,9.944912,-0.004344,-0.004344,1.800000,0.008687,350.061885,350.000000
0.000810,9.937049,-0.005190,-0.005190,1.800000,0.010380,350.071169,350.000000
0.000926,9.929189,-0.006056,-0.006056,1.800000,0.012113,350.080493,350.000000
0.001042,9.921331,-0.006942,-0.006942,1.800000,0.013884,350.089852,350.000000
0.001157,9.913474,-0.007845,-0.007845,1.800000,0.015689,350.099245,350.000000
0.001273,9.905619,-0.008764,-0.008764,1.800000,0.017528,350.108668,350.000000
0.001389,9.897766,-0.009699,-0.009699,1.800000,0.019398,350.118120,350.000000
0.001505,9.889915,-0.010648,-0.010648,1.800000,0.021296,350.127600,350.000000
0.001620,9.882066,-0.011612,-0.011612,1.800000,0.023223,350.137106,350.000000
0.001736,9.874219,-0.012589,-0.012589,1.800000,0.025177,350.146637,350.000000
0.001852,9.866373,-0.013579,-0.013579,1.800000,0.027157,350.156191,350.000000
0.001968,9.858530,-0.014581,-0.014581,1.800000,0.029161,350.165769,350.000000
0.002083,9.850688,-0.015595,-0.015595,1.800000,0.031189,350.175369,350.000000
0.002199,9.842849,-0.016621,-0.016621,1.800000,0.033241,350.184990,350.000000
0.002315,9.835011,-0.017658,-0.017658,1.800000,0.035315,350.194632,350.000000
0.002431,9.827175,-0.018706,-0.018706,1.800000,0.037411,350.204294,350.000000
0.002546,9.819341,-0.019765,-0.019765,1.800000,0.039528,350.213975,350.000000
0.002662,9.811509,-0.020834,-0.020834,1.800000,0.041667,350.223675,350.000000
0.002778,9.803678,-0.021913,-0.021913,1.800000,0.043825,350.233394,350.000000
0.002894,9.795850,-0.023002,-0.023002,1.800000,0.046004,350.243130,350.000000
0.003009,9.788024,-0.024101,-0.024101,1.800000,0.048202,350.252885,350.000000
0.003125,9.780199,-0.025210,-0.025210,1.800000,0.050419,350.262656,350.000000
0.003241,9.772376,-0.026328,-0.026328,1.800000,0.052655,350.272444,350.000000
0.003357,9.764556,-0.027455,-0.027455,1.800000,0.054909,350.282249,350.000000
0.003472,9.756737,-0.028591,-0.028591,1.800000,0.057181,350.292070,350.000000
0.003588,9.748920,-0.029736,-0.029736,1.800000,0.059471,350.301907,350.000000
0.003704,9.741105,-0.030890,-0.030890,1.800000,0.061778,350.311759,350.000000
0.003820,9.733292,-0.032052,-0.032052,1.800000,0.064103,350.321626,350.000000
0.003935,9.725480,-0.033223,-0.033223,1.800000,0.066445,350.331509,350.000000
0.004051,9.717671,-0.034402,-0.034402,1.800000,0.068803,350.341406,350.000000
0.004167,9.709864,-0.035590,-0.035590,1.800000,0.071178,350.351318,350.000000
0.004283,9.702058,-0.036785,-0.036785,1.800000,0.073569,350.361245,350.000000
0.004398,9.694254,-0.037989,-0.037989,1.800000,0.075976,350.371185,350.000000
0.004514,9.686453,-0.039200,-0.039200,1.800000,0.078399,350.381140,350.000000
0.004630,9.678653,-0.040420,-0.040420,1.800000,0.080838,350.391108,350.000000
0.004746,9.670855,-0.041647,-0.041647,1.800000,0.083292,350.401090,350.000000
0.004861,9.663059,-0.042882,-0.042882,1.800000,0.085762,350.411085,350.000000
0.004977,9.655265,-0.044124,-0.044124,1.800000,0.088247,350.421093,350.000000
0.005093,9.647473,-0.045374,-0.045374,1.800000,0.090746,350.431115,350.000000
0.005209,9.639683,-0.046632,-0.046632,1.800000,0.093261,350.441150,350.000000
0.005324,9.631895,-0.047896,-0.047896,1.800000,0.095791,350.451197,350.000000
0.005440,9.624108,-0.049168,-0.049168,1.800000,0.098335,350.461257,350.000000
0.005556,9.616324,-0.050448,-0.050448,1.800000,0.100893,350.471329,350.000000
0.005672,9.608542,-0.051734,-0.051734,1.800000,0.103466,350.481414,350.000000
0.005787,9.600761,-0.053028,-0.053028,1.800000,0.106053,350.491512,350.000000
0.005903,9.592983,-0.054328,-0.054328,1.800000,0.108655,350.501621,350.000000
